PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price
Commercial,2830648100,1032 W BURLEIGH ST,,6,6240,"Custard Stand, Drive-In",,1,1956,0,682,1,0,0,0,7200,2002-07,16000
Commercial,5539993200,3849 S 27TH ST,,13,6413,Muffler Shop,,1,1968,0,5146,1,0,0,0,10800,2002-07,560690
Commercial,3050938000,6159 W APPLETON AV,,10,6226,Residence With Commercial Usage,,2,1954,0,2530,1,0,0,0,4320,2002-07,105000
Commercial,1370141100,3800 W MILL RD,,1,6216,Salvage Yard,,1,1982,0,4362,1,0,0,0,395525,2002-07,250000
Commercial,4360108000,3708 W NATIONAL AV,,8,6274,"Store Building - Single tenant, 1 story",,1,1933,0,3270,1,0,0,0,4000,2002-07,65000
Commercial,2260514110,6627 W FOND DU LAC AV,,2,6230,Super Market,,1,1967,0,20070,1,0,0,0,74750,2002-07,700000
Commercial,1780096110,5813 N 97TH ST,,2,6212,Warehouse Building - 1 Story,,1,1973,0,7975,1,0,0,0,14809,2002-07,287500
Commercial,1070106000,7812 W CLINTON AV,,9,6206,Warehouse Building - 1 Story,,1,1990,0,4900,1,0,0,0,19166,2002-07,175000
Vacant Land,700101000,8325 W TOWER AV,,9,6202,Commercial Land,,0,0,0,0,1,0,0,0,261360,2002-07,360000
Commercial,3061230000,5302 W CENTER ST,,10,6250,Auto & Auto Body Repair,,1,1929,0,2057,1,0,0,0,5130,2002-08,34000
Commercial,2850179000,2100 W HOPKINS ST,,6,6240,Billboard,,0,0,0,0,1,0,0,0,4236,2002-08,42000
Commercial,2680604100,3500 N SHERMAN BL,,7,6242,Office Building - Multi Story ( Ofc & Apt),,3,1958,0,23240,1,0,0,0,15052,2002-08,210000
Commercial,2640054100,7251 W APPLETON AV,,10,6226,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1964,0,8928,1,0,0,0,8430,2002-08,350000
Commercial,3600553000,1607 N ASTOR ST,,3,6264,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1890,0,5542,1,0,0,0,3870,2002-08,200000
Commercial,5489945000,3650 S HOWELL AV,,14,6282,Used Car Sale,,1,1935,0,1663,1,0,0,0,7660,2002-08,110000
Vacant Land,4620395000,1539R S 2ND ST,,12,6279,Commercial Land,,0,0,0,0,1,0,0,0,1900,2002-08,4500
Commercial,2740013110,3700 N HOLTON ST,,6,6238,Auto & Auto Body Repair,,1,1950,0,3952,1,0,0,0,11995,2002-09,85000
Commercial,2080103000,5161 N HOPKINS ST,,1,6232,Day Care Center,,2,1955,0,16592,1,0,0,0,25950,2002-09,684000
Commercial,4280416000,113 W VIRGINIA ST,,12,6275,Multi Story Warehouse,,1,1928,0,19856,1,0,0,0,48000,2002-09,650000
Commercial,2640142000,7027 W CAPITOL DR,,10,6230,Office Building - 1 Story,,1,1957,0,4128,1,0,0,0,10320,2002-09,190000
Commercial,3922423000,1010 N WATER ST,,4,6460,Office Building - Class A,,2,1991,0,11860,1,0,0,0,2593,2002-09,1100000
Commercial,4070301110,7777 W BLUE MOUND RD,,10,6272,Office Building - Multi Story ( Ofc & Apt),,2,1988,0,44328,1,0,0,0,94800,2002-09,3750000
Commercial,2610402000,9227 W CAPITOL DR,,5,6226,Office Building - Multi Story ( Ofc & Apt),,2,1963,0,21945,1,0,0,0,16020,2002-09,512000
