PropType,Taxkey,Address,CondoProject,District,Nbhd,Style,Extwall,Stories,Year_Built,Nr_of_rms,Fin_sqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price 
Condominium,6690823000,2526 W PARNELL AV,PARNELL WOODS,13,5350,TOWN HOUSE,,2,1975,5,1469,1,3,1,1,0,2015-08,92000
Condominium,6690721000,5664 S 27TH ST,PARNELL WOODS,13,5350,TOWN HOUSE,,2,1975,4,1249,1,2,1,1,0,2015-08,80000
Condominium,6690767000,5692 S 27TH ST,PARNELL WOODS,13,5350,TOWN HOUSE,,2,1975,4,1249,1,2,1,1,0,2015-08,73000
Condominium,4280884000,106 W SEEBOTH ST,POINT ON THE RIVER CONDOS,12,5388,APARTMENT,,1,2006,5,1248,1,2,2,0,0,2015-08,342500
Condominium,2801622000,3472B N DOUSMAN ST,RIVER WOODS-ASH-(THE GLADES) ,3,5445,APARTMENT,,1,1958,4,767,1,2,1,0,0,2015-08,61500
Condominium,3541336000,1915 N WATER ST,RIVERBRIDGE,3,5964,APARTMENT,,1,2002,6,1546,1,2,2,0,0,2015-08,226000
Condominium,3541389000,1925 N WATER ST,RIVERBRIDGE,3,5964,APARTMENT,,1,2003,5,1314,1,2,2,0,0,2015-08,200000
Condominium,3541560000,1905 N WATER ST,RIVERBRIDGE,3,5964,APARTMENT,,1,2005,5,1314,1,2,2,0,0,2015-08,211000
Condominium,3541333000,1915 N WATER ST,RIVERBRIDGE,3,5964,APARTMENT,,1,2002,6,1269,1,2,2,0,0,2015-08,230000
Condominium,3541365000,1925 N WATER ST,RIVERBRIDGE,3,5964,APARTMENT,,1,2003,4,1262,1,1,1,0,0,2015-08,183500
Condominium,3541359000,1915 N WATER ST,RIVERBRIDGE,3,5964,APARTMENT,,1,2002,5,1139,1,1,1,0,0,2015-08,155000
Condominium,3611924000,730 N PLANKINTON AV,RIVERFRONT LOFTS,4,5997,APARTMENT,,1,1916,4,2147,1,3,2,0,0,2015-08,425000
Condominium,3970285100,141 N WATER ST,RIVERWALK PLAZA,4,5395,APARTMENT,,1,1894,4,2754,1,2,1,0,0,2015-08,605000
Condominium,3970266000,141 N WATER ST,RIVERWALK PLAZA,4,5395,APARTMENT,,1,1894,2,1109,1,1,1,0,0,2015-08,215000
Condominium,3970275000,141 N WATER ST,RIVERWALK PLAZA,4,5395,APARTMENT,,1,1894,2,1109,1,1,1,0,0,2015-08,217500
Condominium,430178000,8603101 N SERVITE DR,SERVITE WOODS (ATRIUM),9,5070,MIXED STYLES,,2,1974,6,1496,1,2,1,1,0,2015-08,40000
Condominium,3551664000,1550 E ROYALL PL,STERLING CONDOMINIUM,3,5855,APARTMENT,,1,2005,3,895,1,1,1,0,0,2015-08,175500
Condominium,3970345000,418150 N 3RD ST,TRANSPORTATION DISTRICT,4,5391,APARTMENT,,1,1894,3,1178,1,1,1,0,0,2015-08,205000
Condominium,3541664000,2080 N COMMERCE ST,UNION POINT CONDOMINIUM,6,5826,APARTMENT,,1,2007,3,841,1,1,1,0,0,2015-08,130000
Condominium,2620708000,90348 W LISBON AV,VILLA DU COURS (ATRIUM),5,5221,MIXED STYLES,,1,1975,5,928,1,2,1,0,0,2015-08,53500
Condominium,2620797000,9002309 W LISBON AV,VILLA DU COURS (ELEVATOR),5,5220,APARTMENT,,1,1974,4,1067,1,2,2,0,0,2015-08,44000
Condominium,2620936000,3635310 N TUCKER PL,VILLA DU COURS (ELEVATOR),5,5220,APARTMENT,,1,1974,4,863,1,1,1,0,0,2015-08,33000
Condominium,4280646000,200 S WATER ST,WATER STREET LOFTS CONDOMINIUM,12,5396,APARTMENT,,1,1875,3,638,1,1,1,0,0,2015-08,149900
Condominium,4280736000,130 S WATER ST,WATERFRONT CONDO,12,5394,APARTMENT,,1,2004,4,1240,1,2,1,0,0,2015-08,455000
Condominium,4280688000,130 S WATER ST,WATERFRONT CONDO,12,5394,APARTMENT,,1,2004,4,1140,1,2,1,0,0,2015-08,405000
Condominium,5381646000,3449 S PINE AV,WHITNALL SQUARE,14,5310,APARTMENT,,1,1970,4,810,1,2,1,0,0,2015-08,54000
Condominium,3910830000,606 W WISCONSIN AV,WISCONSIN TOWER,4,5999,Apartment,,1,1929,5,1982,1,2,2,1,0,2015-08,209000
Condominium,340610000,8951B N 95TH ST,WOODLANDS,9,5060,TOWN HOUSE,,2.5,1970,5,1054,1,3,1,1,0,2015-08,13000
Condominium,340692000,9086F N 95TH ST,WOODLANDS,9,5060,TOWN HOUSE,,2.5,1970,5,1054,1,3,1,1,0,2015-08,17000
Condominium,3561196100,2117 N SUMMIT AV,WOODSTOCK CONDOMINIUM,3,5890,APARTMENT,,1,1915,5,1110,1,2,1,0,0,2015-08,174300
Lg Apartment,2300398000,3112 W GLENDALE AV,"4: 1-Br ,4: 2-Br ",1,6690,"Apartment: 4: 1-Br ,4: 2-Br  Units",,2,1928,0,6807,1,0,0,0,5280,2015-08,137500
Lg Apartment,1780435100,5658 N 94TH ST,,2,6674,Apartment:  Units,,2,1965,0,4080,1,0,0,0,9680,2015-08,157000
Lg Apartment,3330103000,8815 W CENTER ST,4: 2-Br ,5,6663,Apartment: 4: 2-Br  Units,,2,1947,0,3732,1,0,0,0,9480,2015-08,230000
Lg Apartment,2710473100,1720 W ATKINSON AV,8: 1-Br ,6,6690,Apartment: 8: 1-Br  Units,,2,1927,0,6154,1,0,0,0,5436,2015-08,102300
Lg Apartment,1550029100,6122 W FLORIST AV,4: 2-Br ,9,6621,Apartment: 4: 2-Br  Units,,2,1961,0,3672,1,0,0,0,9605,2015-08,134000
Lg Apartment,5590040100,3534 S 77TH ST,12: 2-Br ,11,6881,Apartment: 12: 2-Br  Units,,2,1960,0,11460,1,0,0,0,29500,2015-08,785000
Lg Apartment,5041010000,2754 S CLEMENT AV,3: 1-Br ,14,6860,Apartment: 3: 1-Br  Units,,2,1914,0,2700,1,0,0,0,3048,2015-08,290000
Commercial,4281062000,511 W FRESHWATER WA,,12,6453,Office Building - Class B,,3,2016,0,52920,1,0,0,0,69347,2015-08,1432800
Commercial,1780056100,5828 N 98TH ST,,2,6212,Parking Lot,,0,0,0,0,1,0,0,0,9148,2015-08,10000
Commercial,2070687000,2820 W STARK ST,,1,6232,Service Building,,1,1952,0,4164,1,0,0,0,6375,2015-08,85000
Commercial,2812745000,3059 N WEIL ST,,3,6238,Service Building,,0,0,0,140,1,0,0,0,140,2015-08,262500
Commercial,2812746000,3059 N WEIL ST,,3,6238,Service Building,,0,0,0,0,1,0,0,0,242,2015-08,262500
Commercial,1110123000,10950 W GOOD HOPE RD,,5,6440,Sit Down Restaurant,,1,2001,0,7074,1,0,0,0,75568,2015-08,630000
Commercial,3141133100,531 E BURLEIGH ST,,6,6238,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1917,0,14500,1,0,0,0,12650,2015-08,399000
Commercial,2722504000,3901 N PORT WASHINGTON AV,,6,6240,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1925,0,5766,1,0,0,0,9600,2015-08,183000
Commercial,4280491110,600 S 6TH ST,,12,6275,"Store Bldg - Multi Story (Store & Apt, Store & O",,2,1910,0,5084,1,0,0,0,14000,2015-08,390000
Commercial,4702718000,1993 S MUSKEGO AV,,8,6278,Tavern,,2,1895,0,3240,1,0,0,0,2650,2015-08,117500
Commercial,1060021111,7440 N 76TH ST,,9,6423,Theater,,1,1976,0,40160,1,0,0,0,387684,2015-08,1300000
Commercial,2419992100,532 E CAPITOL DR,,6,6423,Warehouse Building - 1 Story,,1,1930,0,131640,1,0,0,0,291286,2015-08,2550000
Commercial,1780060110,9732 W CARMEN AV,,2,6212,Warehouse Building - 1 Story,,1,1966,0,9074,1,0,0,0,19602,2015-08,250000
Commercial,30142000,9350 N 107TH ST,,9,6202,Warehouse Building - 1 Story,,1,1979,0,7200,1,0,0,0,23958,2015-08,250000
Vacant Land,3590626000,1632 N FRANKLIN PL,,3,6264,Commercial Land,,0,0,0,0,1,0,0,0,43560,2015-08,600000
Vacant Land,4200914000,621 S 62ND ST,,10,2710,**,,0,0,0,0,0,0,0,0,5670,2015-08,10500
Residential,1719714000,5917 N 41ST ST,,1,900,Cape Cod,Aluminum / Vinyl,1.5,1936,0,1505,1,2,2,0,7100,2015-09,72000
Residential,1710352000,5739 N 37TH ST,,1,900,Cape Cod,Aluminum / Vinyl,1,1953,0,1248,1,3,1,0,4800,2015-09,31000
Residential,1709960000,3207 W ORIOLE DR,,1,900,Cape Cod,Frame,1,1958,0,1194,1,2,1,0,4386,2015-09,47000
Residential,2451502000,4272 N 24TH PL,,1,1500,Cape Cod,Aluminum / Vinyl,1,1950,0,1150,1,3,1,1,5209,2015-09,58000
Residential,1901935000,5550 N 55TH ST,,1,1140,Cape Cod,Aluminum / Vinyl,1,1951,0,846,1,3,1,0,5984,2015-09,40000
Residential,1930117000,5260 N 28TH ST,,1,1200,Duplex N/S,Aluminum / Vinyl,2,1954,0,1536,2,4,2,0,5880,2015-09,35000
Residential,1580244000,6195 N 37TH ST,,1,900,Ranch,Aluminum / Vinyl,1,1953,0,864,1,3,2,0,6240,2015-09,42600
Residential,1909798000,5227 N 58TH ST,,2,1140,Cape Cod,Aluminum / Vinyl,1.5,1950,0,1510,1,4,2,1,6160,2015-09,106500
Residential,2500019000,4208 N 64TH ST,,2,1490,Cape Cod,Brick,1,1947,0,1440,1,3,1,1,5200,2015-09,85000
Residential,2510436000,4149 N 71ST ST,,2,1480,Cape Cod,Aluminum / Vinyl,1,1942,0,1236,1,3,1,0,6000,2015-09,105000
Residential,2260687000,4640 N 66TH ST,,2,1490,Cape Cod,Frame,1,1954,0,1112,1,3,2,0,5600,2015-09,59000
Residential,1780312000,5813 N 93RD ST,,2,1020,Duplex N/S,Aluminum / Vinyl,1.5,1961,0,1883,2,5,2,0,4840,2015-09,65000
Residential,2510356000,4029 N 70TH ST,,2,1480,Ranch,Brick,1,1959,0,1080,1,3,1,1,6120,2015-09,68800
Residential,2110326000,5131 N 67TH ST,,2,1380,Ranch,Brick,1,1956,0,1044,1,3,1,0,5040,2015-09,88000
Residential,1880746000,5234 N 69TH ST,,2,1380,Ranch,Aluminum / Vinyl,1,1954,0,954,1,3,1,0,6000,2015-09,60000
Residential,1750701000,5912 N 72ND ST,,2,980,Ranch,Aluminum / Vinyl,1,1959,0,947,1,3,1,0,5200,2015-09,47000
Residential,1530163000,7701 W MILL RD,,2,700,Ranch,Aluminum / Vinyl,1,1959,0,942,1,3,1,0,7200,2015-09,55000
Residential,2130474000,7948 W GRANTOSA DR,,2,1400,Ranch,Aluminum / Vinyl,1,1955,0,936,1,3,1,0,6000,2015-09,72000
Residential,1501932000,6361 N 106TH ST,,2,820,Ranch,Aluminum / Vinyl,1,1974,0,904,1,3,1,1,8040,2015-09,94900
Residential,2260667000,4618 N 67TH ST,,2,1490,Ranch,Brick,1,1958,0,888,1,2,1,1,5000,2015-09,59900
Residential,1750342200,5831 N 74TH ST,,2,980,Residence O/S,Aluminum / Vinyl,1,1923,0,1108,1,3,1,0,4800,2015-09,61400
Residential,1870216000,8108 W SCRANTON PL,,2,1400,Split Level,Aluminum / Vinyl,1,1955,0,1414,1,3,1,1,6885,2015-09,75000
Residential,1450606000,6550 N 106TH ST,,2,820,Townhouse,Aluminum / Vinyl,2,1982,0,2402,2,6,2,2,10200,2015-09,88000
Residential,3170081000,3009 N HACKETT AV,,3,3060,Colonial,Stucco,2,1914,0,2957,1,5,2,1,5400,2015-09,450000
Residential,3540697000,1021 E HAMILTON ST,,3,3240,Cottage,Frame,2,1880,0,1818,1,3,2,0,2500,2015-09,152000
Residential,3160930000,3059 N FREDERICK AV,,3,3160,Dplx Bungalow,Frame,2,1915,0,2847,2,6,2,0,4920,2015-09,255000
Residential,3140108000,2807 N FRATNEY ST,,3,2890,Dplx Bungalow,Aluminum / Vinyl,2,1923,0,2724,2,6,2,0,4800,2015-09,189000
Residential,3150619000,1235 E BURLEIGH ST,,3,3320,Dplx Bungalow,Frame,1.5,1926,0,1880,2,3,2,0,5640,2015-09,155000
Residential,3200614200,2539 N BARTLETT AV,,3,3190,Duplex O/S,Aluminum / Vinyl,2,1900,0,3170,2,7,3,0,2500,2015-09,265000
Residential,3201514000,2343 N OAKLAND AV,,3,3190,Duplex O/S,Aluminum / Vinyl,2,1892,0,2106,2,4,2,0,2370,2015-09,185000
Residential,3140538000,2768 N BREMEN ST,,3,2890,Duplex O/S,Aluminum / Vinyl,1,1904,0,1716,2,4,2,0,3600,2015-09,104500
Residential,3140142000,2823 N WEIL ST,,3,2890,Duplex O/S,Aluminum / Vinyl,1.5,1895,0,1623,2,3,2,0,3600,2015-09,94900
Residential,3590427000,1614 N FRANKLIN PL,,3,3240,Duplex-Cottage,Aluminum / Vinyl,1,1900,0,1344,2,2,2,0,2289,2015-09,155250
Residential,2780032000,2726 E KENWOOD BL,,3,3060,Residence O/S,Masonry / Frame,2,1899,0,5158,1,6,3,2,7200,2015-09,795000
Residential,2780603000,3481 N LAKE DR,,3,3060,Residence O/S,Brick,2,1926,0,3434,1,4,3,2,11760,2015-09,729000
Residential,3161259000,2751 N STOWELL AV,,3,3170,Residence O/S,Frame,2,1905,0,2881,1,5,2,1,4880,2015-09,360000
Residential,3550225000,1550 E IRVING PL,,3,3190,Residence O/S,Aluminum / Vinyl,2,1898,0,2536,1,4,1,1,2835,2015-09,244500
Residential,2801262000,3314 N CAMBRIDGE AV,,3,3150,Residence O/S,Aluminum / Vinyl,2,1910,0,1990,1,3,1,2,3600,2015-09,215000
Residential,3160212000,3002 N FARWELL AV,,3,3160,Residence O/S,Stucco,2,1912,0,1959,1,5,1,1,3220,2015-09,275000
Residential,2801198000,3344 N BARTLETT AV,,3,3150,Residence O/S,Frame,2,1908,0,1819,1,3,2,1,3600,2015-09,272000
Residential,2801243000,3379 N NEWHALL ST,,3,3150,Residence O/S,Aluminum / Vinyl,2,1912,0,1654,1,4,1,0,5400,2015-09,189000
Residential,2801362000,1702 E NEWPORT AV,,3,3150,Residence O/S,Aluminum / Vinyl,2,1905,0,1646,1,4,1,1,2528,2015-09,150000
Residential,2810035000,3330 N PIERCE ST,,3,2880,Residence O/S,Aluminum / Vinyl,1.5,1905,0,1345,1,3,1,1,3660,2015-09,150000
Residential,3600019000,1621 N VAN BUREN ST,,3,3240,Residence O/S,Frame,1.5,1900,0,1257,1,3,1,0,4800,2015-09,190000
Residential,4010603000,3205 W MICHIGAN ST,,4,2160,Residence O/S,Aluminum / Vinyl,2,1908,0,2499,1,6,1,1,5040,2015-09,63000
Residential,3880672000,3307 W KILBOURN AV,,4,2300,Residence O/S,Frame,1.5,1920,0,1963,1,4,2,0,5400,2015-09,126000
Residential,2920412000,3209 N 77TH ST,,5,2100,Cape Cod,Brick,1.5,1949,0,1770,1,4,2,0,4800,2015-09,134900
Residential,2230077000,8817 W GRANTOSA DR,,5,1460,Cape Cod,Brick,1.5,1964,0,1767,1,3,2,0,7080,2015-09,132500
Residential,3031023000,2808 N 84TH ST,,5,2080,Cape Cod,Brick,1,1948,0,1727,1,4,1,0,4715,2015-09,139900
Residential,2610807000,3379 N 94TH ST,,5,2100,Cape Cod,Frame,1,1953,0,1494,1,3,1,1,6000,2015-09,172500
Residential,2610865000,3529 N 96TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1,1952,0,1414,1,4,1,1,5600,2015-09,174000
Residential,2930837000,3407 N 88TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1,1952,0,1406,1,4,2,0,5240,2015-09,172000
Residential,2920526000,3170 N 81ST ST,,5,2100,Cape Cod,Brick,1,1947,0,1354,1,4,1,0,5474,2015-09,134900
Residential,2930471000,3372 N 92ND ST,,5,2100,Cape Cod,Aluminum / Vinyl,1.5,1951,0,1262,1,3,2,0,4960,2015-09,163500
Residential,3030825000,2866 N 77TH ST,,5,2080,Cape Cod,Aluminum / Vinyl,1.5,1940,0,1196,1,2,1,0,4800,2015-09,136000
Residential,2169939110,5114 N 107TH ST,,5,1040,Cape Cod,Aluminum / Vinyl,1,1942,0,1172,1,4,1,0,7800,2015-09,79500
Residential,2930556000,9025 W LISBON AV,,5,2100,Cape Cod,Aluminum / Vinyl,1,1952,0,1168,1,3,1,1,4800,2015-09,93600
Residential,2930016000,3430 N 88TH ST,,5,2100,Cape Cod,Aluminum / Vinyl,1,1949,0,1051,1,2,1,0,4800,2015-09,133000
Residential,3030441000,2949 N 79TH ST,,5,2080,Cape Cod,Aluminum / Vinyl,1,1942,0,1021,1,3,1,0,5632,2015-09,151900
Residential,2920495000,3165 N 78TH ST,,5,2100,Cape Cod,Frame,1,1950,0,948,1,3,1,0,6419,2015-09,114900
Residential,3020072000,3057 N 88TH ST,,5,2080,Cape Cod,Aluminum / Vinyl,1,1951,0,878,1,3,1,0,5160,2015-09,84000
Residential,1160201000,6908 N PARK MANOR DR,,5,440,Colonial,Masonry / Frame,2,1970,0,2464,1,4,2,1,12000,2015-09,212000
Residential,1480781000,6116 N 117TH ST,,5,780,Colonial,Aluminum / Vinyl,2,1994,0,1940,1,3,2,1,10398,2015-09,203000
Residential,3020633000,2849 N 89TH ST,,5,2080,Colonial,Aluminum / Vinyl,2,1949,0,1248,1,3,1,1,6250,2015-09,144000
Residential,3031344000,3028 N 83RD ST,,5,2080,Duplex N/S,Aluminum / Vinyl,2,1948,0,2082,2,4,2,0,6400,2015-09,128000
Residential,2241008000,7955 W APPLETON AV,,5,1470,Duplex O/S,Aluminum / Vinyl,2,1900,0,1700,2,4,2,1,5280,2015-09,69000
Residential,1120003000,7250 N CASSIE AV,,5,820,Ranch,Aluminum / Vinyl,1,2014,0,3039,1,4,3,0,11006,2015-09,313500
Residential,1480751000,6169 N 116TH ST,,5,780,Ranch,Aluminum / Vinyl,1,1989,0,1833,1,3,2,0,10461,2015-09,199900
Residential,1160125000,7015 N 97TH ST,,5,440,Ranch,Aluminum / Vinyl,1,1963,0,1776,1,3,2,0,13200,2015-09,164500
Residential,1100211000,10127 W JUNIPER ST,,5,440,Ranch,Aluminum / Vinyl,1,1988,0,1722,1,3,2,1,21780,2015-09,188500
Residential,1810448000,11720 W FLAGG AV,,5,780,Ranch,Aluminum / Vinyl,1,2002,0,1586,1,3,2,0,7922,2015-09,161500
Residential,1819969120,5955 N 117TH ST,,5,780,Ranch,Brick,1,1969,0,1498,1,3,2,1,14299,2015-09,127500
Residential,2940092000,3328 N ARGONNE DR,,5,2140,Ranch,Brick,1,1957,0,1372,1,3,1,1,7200,2015-09,165900
Residential,1480014000,6145 N RIVER TRAIL DR,,5,780,Ranch,Aluminum / Vinyl,1,1972,0,1212,1,4,1,1,10350,2015-09,149900
Residential,2140319000,4959 N 89TH ST,,5,1400,Ranch,Brick,1,1956,0,1198,1,3,1,1,7700,2015-09,113000
Residential,1489941100,6204 N 118TH ST,,5,780,Ranch,Aluminum / Vinyl,1,1955,0,1195,1,3,2,0,11310,2015-09,176000
Residential,1840073000,5523 N 106TH ST,,5,1040,Ranch,Aluminum / Vinyl,1,1956,0,1132,1,3,1,1,7130,2015-09,85000
Residential,2520211000,8115 W LYNMAR TR,,5,1470,Ranch,Aluminum / Vinyl,1,1956,0,1120,1,3,2,1,8642,2015-09,117000
Residential,2630545000,3838 N 78TH ST,,5,2040,Ranch,Brick,1,1958,0,1110,1,3,1,1,4800,2015-09,105000
Residential,2610538000,3911 N 92ND ST,,5,2100,Ranch,Aluminum / Vinyl,1,1956,0,1058,1,3,1,1,6000,2015-09,82000
Residential,2520261000,7800 W HOPE AV,,5,1470,Ranch,Brick,1,1956,0,979,1,2,1,0,6272,2015-09,104999
Residential,3020036000,3040 N 91ST ST,,5,2080,Ranch,Block,1,1947,0,974,1,2,1,0,5000,2015-09,112000
Residential,2619999000,9630 W KEEFE AV,,5,2100,Ranch,Aluminum / Vinyl,1,1954,0,864,1,3,1,0,4960,2015-09,90000
Residential,1480772000,6151 N 116TH ST,,5,780,Split Level,Aluminum / Vinyl,1,1993,0,2240,1,4,3,1,10582,2015-09,215000
Residential,2702008000,3613 N 23RD ST,,6,2840,Dplx Bungalow,Aluminum / Vinyl,1.5,1917,0,1786,2,4,2,0,4070,2015-09,30000
Residential,3211554000,2568 N BUFFUM ST,,6,2920,Duplex O/S,Frame,2,1912,0,3008,2,6,2,0,6000,2015-09,51000
Residential,2842072000,3406 N 16TH ST,,6,2850,Milwaukee Bungalow,Brick,1,1922,0,1375,1,4,1,1,5080,2015-09,38000
Residential,3141131000,513 E BURLEIGH ST,,6,2800,Residence O/S,Aluminum / Vinyl,1,1923,0,1475,1,4,1,0,3300,2015-09,110000
Residential,3530351100,2114 N 2ND ST,,6,2910,Rm or Rooming House,Aluminum / Vinyl,2,1885,0,1782,2,3,2,0,0,2015-09,202500
Residential,2490442000,4239 N 52ND ST,,7,1560,Cape Cod,Stucco,1.5,1950,0,1374,1,3,1,1,4920,2015-09,70000
Residential,2470215000,4056 N 42ND ST,,7,1680,Cape Cod,Brick,1,1940,0,1198,1,2,2,0,5031,2015-09,62500
Residential,2480630000,4102 N 45TH ST,,7,1680,Cape Cod,Brick,1.5,1944,0,1120,1,2,1,1,4800,2015-09,64900
Residential,2100301000,5150 N 56TH ST,,7,1140,Cape Cod,Aluminum / Vinyl,1,1952,0,1092,1,4,1,0,6160,2015-09,65000
Residential,2880909000,4824 W TOWNSEND ST,,7,1840,Colonial,Brick,2,1938,0,1732,1,3,1,1,4888,2015-09,128000
Residential,2670715000,4505 W MEDFORD AV,,7,1840,Colonial,Brick,2,1935,0,1605,1,3,1,1,5760,2015-09,97050
Residential,3070614000,3012 N 44TH ST,,7,2510,Milwaukee Bungalow,Brick,1,1926,0,1737,1,4,1,0,5040,2015-09,64000
Residential,2870756000,3125 N 38TH ST,,7,1780,Milwaukee Bungalow,Aluminum / Vinyl,1,1926,0,1240,1,3,1,0,3600,2015-09,35000
Residential,2299797000,4418 N 40TH ST,,7,1440,Ranch,Frame,1,1949,0,725,1,2,1,0,5074,2015-09,26000
Residential,4350443000,1104 S 35TH ST,,8,4060,Duplex O/S,Frame,2,1911,0,2490,2,4,2,0,3960,2015-09,45000
Residential,4710038000,2827 W BURNHAM ST,,8,4060,Duplex O/S,Frame,1.5,1921,0,1670,2,4,2,0,3276,2015-09,88000
Residential,4591442000,2607 W ORCHARD ST,,8,4100,Duplex O/S,Aluminum / Vinyl,2,1883,0,1620,2,5,2,0,3300,2015-09,50900
Residential,4701609000,2012 W LINCOLN AV,,8,4120,Duplex-Cottage,Aluminum / Vinyl,1,1906,0,1680,2,5,2,0,3000,2015-09,48000
Residential,4579847000,1629 S 37TH ST,,8,4060,Milwaukee Bungalow,Aluminum / Vinyl,1,1928,0,1746,1,3,3,0,4165,2015-09,70000
Residential,4710803000,2113 S 30TH ST,,8,4000,Milwaukee Bungalow,Brick,1,1922,0,1402,1,3,1,0,3960,2015-09,73000
Residential,4579829000,3751 W LAPHAM ST,,8,4060,Ranch,Stone,1,1949,0,780,1,2,1,0,6003,2015-09,84500
Residential,4702313000,2052 S 25TH ST,,8,4120,Residence O/S,Aluminum / Vinyl,2,1911,0,2220,1,3,1,1,4200,2015-09,52500
Residential,4580872000,3105 W GRANT ST,,8,4000,Residence O/S,Aluminum / Vinyl,1.5,1922,0,1535,1,3,1,1,2795,2015-09,63000
Residential,4360338000,3749 W HILDA PL,,8,4060,Residence O/S,Frame,1.5,1905,0,1440,1,3,1,0,3360,2015-09,84900
Residential,4720190000,2068 S 36TH ST,,8,4000,Residence O/S,Aluminum / Vinyl,1,1885,0,1012,1,3,1,0,3750,2015-09,35000
Residential,4340479000,1335 S 21ST ST,,8,4050,Rm or Rooming House,Frame,1,1880,0,1225,1,4,1,0,0,2015-09,80000
Residential,4340500000,1329 S 24TH ST,,8,4050,Triplex,Aluminum / Vinyl,2,1880,0,3158,3,8,3,0,3750,2015-09,65000
Residential,790203000,9531 W PARKLAND CT,,9,240,Colonial,Aluminum / Vinyl,2,2007,0,1938,1,4,2,1,9000,2015-09,224900
Residential,1380183000,4580 W MILL RD,,9,560,Duplex N/S,Aluminum / Vinyl,2,1979,0,2070,2,6,2,0,7260,2015-09,98000
Residential,1180206000,7846 W DENVER AV,,9,480,Ranch,Aluminum / Vinyl,1,1974,0,1564,1,3,1,1,7200,2015-09,142000
Residential,1430019000,6653 N 90TH ST,,9,480,Ranch,Brick,1,1956,0,1202,1,3,1,0,7200,2015-09,111500
Residential,1410499000,6588 N 66TH ST,,9,660,Ranch,Frame,1,1968,0,1179,1,3,1,1,7259,2015-09,104500
Residential,730382000,8321 N 106TH ST,,9,240,Ranch,Aluminum / Vinyl,1,1972,0,1120,1,3,2,1,8100,2015-09,135000
Residential,1410483000,6826 W LIMA ST,,9,660,Ranch,Aluminum / Vinyl,1,1971,0,1120,1,4,2,1,7200,2015-09,110000
Residential,1430411000,6606 N 84TH ST,,9,480,Ranch,Brick,1,1957,0,1046,1,2,1,0,7200,2015-09,115500
Residential,1430767000,8464 W DENVER AV,,9,480,Ranch,Aluminum / Vinyl,1,1957,0,950,1,3,1,0,9000,2015-09,101000
Residential,1430363000,6523 N 84TH ST,,9,480,Ranch,Frame,1,1957,0,864,1,3,1,0,7200,2015-09,111500
Residential,4180416000,146 S 81ST ST,,10,2720,Cape Cod,Aluminum / Vinyl,1.5,1948,0,1498,1,4,2,1,6272,2015-09,174000
Residential,4040015000,5612 W MICHIGAN ST,,10,2660,Cape Cod,Aluminum / Vinyl,1,1940,0,1312,1,4,1,1,6000,2015-09,151000
Residential,3040376000,2945 N 70TH ST,,10,1980,Cape Cod,Aluminum / Vinyl,1.5,1938,0,1297,1,3,1,1,5382,2015-09,174000
Residential,4061237000,177 N 70TH ST,,10,2720,Cape Cod,Aluminum / Vinyl,1.5,1941,0,1294,1,4,1,1,4600,2015-09,155500
Residential,3040048000,3019 N 74TH ST,,10,2080,Cape Cod,Brick,1,1948,0,1266,1,3,2,0,5400,2015-09,150000
Residential,4090334000,9425 W ST PAUL AV,,10,2760,Cape Cod,Aluminum / Vinyl,1,1953,0,1183,1,3,1,1,6250,2015-09,127000
Residential,4070650000,218 N 79TH ST,,10,2720,Cape Cod,Brick,1,1945,0,1110,1,3,1,0,4320,2015-09,148000
Residential,4201076000,228 S 62ND ST,,10,2710,Cape Cod,Frame,1,1947,0,1070,1,3,2,0,5670,2015-09,113000
Residential,2640571000,3831 N 70TH ST,,10,1940,Cape Cod,Aluminum / Vinyl,1,1954,0,989,1,3,1,0,4920,2015-09,92900
Residential,2910115000,3155 N 75TH ST,,10,2100,Cape Cod,Brick,1,1952,0,882,1,2,1,0,5200,2015-09,75900
Residential,3460749000,5515 W WASHINGTON BL,,10,2580,Colonial,Brick,2,1922,0,1894,1,4,2,0,6345,2015-09,253800
Residential,3461135000,2027 N 58TH ST,,10,2540,Dplx Bungalow,Aluminum / Vinyl,2,1923,0,2297,2,4,2,0,4760,2015-09,147400
Residential,4060518000,7140 W MT VERNON AV,,10,2720,Dplx Bungalow,Masonry / Frame,2,1930,0,2216,2,4,2,0,6848,2015-09,188000
Residential,3040610000,7124 W MOLTKE AV,,10,2080,Duplex O/S,Frame,1.5,1924,0,2047,2,4,2,0,6545,2015-09,35000
Residential,3461157000,2034 N 59TH ST,,10,2540,Milwaukee Bungalow,Aluminum / Vinyl,1.5,1920,0,1549,1,3,1,1,5355,2015-09,170000
Residential,4040571000,529 N 53RD ST,,10,2660,Milwaukee Bungalow,Aluminum / Vinyl,1,1925,0,1226,1,3,1,0,5632,2015-09,119000
Residential,4190339000,107 N 74TH ST,,10,2720,Milwaukee Bungalow,Aluminum / Vinyl,1,1922,0,1189,1,3,2,0,4800,2015-09,153000
